Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
658;6;0;0;12,8125;22,6576;17,4307;11;0;1;1;0;57,3;137,9;2,3;53,3;213,1;360,0533;715,3927;356,4335
659;6;0;0;12,875;23,965;20,0008;16;0;2;1;0;68,8;132,6;7,9;94,2;145,8;351,2524;795,1486;365,1952
660;6;0;0;12,8235;24,1849;16,4189;4;1;2;1;1;110,3;183,5;7,9;71,2;205,9;379,6196;736,2666;369,5897
661;6;0,7465;0;13,9333;22,2948;17,8897;5;0;0;0;0;1,9;130,3;1,4;137,4;164,2;395,1083;827,496;374,5472
662;6;0;0;13,8667;23,4107;19,5587;14;0;0;0;2;54,9;147,7;12,2;80,3;143,4;418,5432;876,7915;331,2238
663;6;0,3634;0,3694;13,9231;26,9386;20,6565;29;0;0;0;1;61,6;160,1;0,3;100,1;109,1;369,7009;848,0682;312,6841
664;6;0,0448;0,0143;13,8182;28,6696;21,0526;28;0;0;0;0;120,3;228,2;0;110,3;93,8;286,0726;783,3974;350,2868
665;6;0;0;13;26,6226;21,7182;8;0;0;0;4;75,6;177,6;18,5;133;80,9;365,8619;821,003;396,6692
666;6;0;0;12,8235;22,5726;17,4307;10;1;1;1;0;82,3;112,9;2,3;140,9;213,1;378,9619;678,7138;346,0547
667;6;0,4097;0;14;27,8345;19,6239;11;0;0;0;0;5,7;56,4;34,3;58,7;310,8;391,0892;779,8799;440,1655
668;6;0,6232;0;14;26,1023;25,0108;20;0;2;0;0;14;63;37,9;91,1;90,7;338,9846;828,9558;361,0667
669;6;0;0;13,7857;24,2892;19,0757;5;0;0;0;0;137,4;43,3;29,9;61,5;186,4;370,2503;844,6702;372,4574
670;6;0;0,0107;13,7059;25,0763;19,6006;1;0;2;0;0;114,5;164,6;26,5;92,6;140,3;344,2378;835,6579;320,2276
671;6;0;0;13,5;20,5488;19,9657;5;0;0;0;0;99;36,9;29,9;69,2;198,5;374,7478;876,4762;412,7584
672;6;0;0;13,6667;21,9812;19,9657;5;0;0;0;0;13,7;36,9;29,9;69,3;198,5;376,7976;867,6875;377,9518
673;6;0;0;13,5;20,5488;19,9657;5;0;0;0;0;99;36,9;29,9;69,2;198,5;374,7478;876,4762;412,7584
674;6;0;0;13,3125;25,2256;20,3663;8;0;2;0;1;53,9;60,3;26,8;42,6;162,6;385,5758;804,7854;402,2874
675;6;0;0;13,3125;25,2256;20,3663;8;0;2;0;1;53,9;60,3;26,8;42,6;162,6;385,5758;804,7854;402,2874
676;6;0;0;13,125;19,2389;19,081;4;0;0;0;1;175,5;141;11,8;57,7;180,6;350,5151;706,7934;370,229
677;6;0,1323;0,7144;13,125;19,2389;19,081;4;0;0;0;1;137,5;42;11,8;17,7;180,6;350,5151;706,7934;370,229
678;6;0,0799;0;14,3333;21,941;21,6779;14;0;0;6;0;14;134,3;6,7;192,4;70,3;332,82;738,5735;418,8704
679;6;0;0;13,5;23,9052;23,692;6;0;4;3;3;12,4;137,4;75;128,9;231,3;338,2592;843,7417;438,327
680;6;0;0;12,9286;25,8713;20,6995;7;0;3;0;1;37,7;62,8;26,8;95,4;165,3;352,0804;837,373;413,0446
681;6;0;0;12,9286;25,8713;20,6995;7;0;3;0;1;37,7;62,8;26,8;95,4;165,3;352,0804;837,373;413,0446
682;6;0;0;13,8667;22,9902;18,2584;0;0;12;2;3;45,4;163,9;11,2;35,2;252,4;393,6528;931,1198;460,3522
683;6;0;0;13;23,5207;18,2574;4;0;0;0;1;78,6;184,1;11,8;60,1;198,3;327,6029;746,2501;347,2337
684;6;0,0086;0,6137;13;23,5207;18,2574;4;0;0;0;1;38,6;105,1;11,8;0,1;198,3;327,6029;746,2501;347,2337
685;6;0;0;13,5333;24,1051;17,9282;7;0;1;0;0;58;128,8;19,1;102;140;315,9601;767,4242;352,4569
686;6;0;0;13,4375;26,8889;17,9172;4;0;1;0;0;70,9;129,2;9,2;121,3;183,9;372,7886;854,0658;391,0414
687;6;0;0;13,4667;25,0644;21,0269;9;0;2;0;0;24,5;125,9;29;45;160,1;366,0491;885,245;412,9981
688;6;0,2124;0;14;19,8756;22,4992;17;0;0;6;0;48,9;100,6;6,7;192,5;70,3;320,1102;778,5029;424,4
689;6;0;0;12,9286;26,2793;20,6995;6;0;3;0;1;38,3;67,3;26,8;125,4;165,3;340,8001;824,6092;408,9442
690;6;0;0;12,9286;26,2793;20,6995;6;0;3;0;1;38,3;67,3;26,8;125,4;165,3;340,8001;824,6092;408,9442
691;6;0;0;13;24,0114;18,2574;4;0;0;0;1;60,2;165,3;11,8;82,4;198,3;329,0188;730,6794;342,905
692;6;0,1042;0,5288;13;24,0114;18,2574;4;0;0;0;1;0,2;106,3;11,8;22,4;198,3;329,0188;730,6794;342,905
693;6;0,0024;0,0323;13,6;19,5016;18,2061;4;0;2;0;0;99,4;144,5;5,2;38,4;240,7;326,0531;782,7386;370,229
694;6;0;0;12,8667;20,1052;16,7834;6;0;0;0;1;128,6;211,6;23,8;52,9;214;315,7502;806,9173;403,9549
695;6;0;0;13,2;26,4443;17,9172;2;0;1;0;0;35;129,3;9,2;121,6;183,9;344,2414;834,1531;391,4442
696;6;0;0;13,1333;25,534;18,5219;4;0;1;0;0;77,6;143,4;14,2;115,5;116,8;358,7436;705,7901;328,4323
697;6;0,0083;0;13,3333;24,8115;21,0269;7;0;2;0;0;18,2;125,9;29;74,9;160,1;368,0546;857,0995;418,7599
698;6;0;0;13,2857;25,6989;17,9273;5;0;1;0;0;32,6;172,4;42,1;125,9;116,5;342,1652;747,8914;327,4672
699;6;0;0;13,6667;21,1645;22,1473;10;0;0;0;1;49;92,5;7,1;197,4;92,3;336,6785;813,1442;333,3348
700;6;0,4222;0,2562;13,8571;17,9294;21,905;15;0;0;0;6;100,4;151,9;31;120,8;144,4;367,8919;926,5522;331,348
701;6;0,0006;0;14;20,997;23,2694;23;0;0;0;1;50,8;157,9;20,2;55,6;84;347,9929;845,9683;305,9827
702;6;0,0062;0;13,1667;27,4901;21,7128;22;0;0;0;0;54,9;208,3;17,8;60,3;350,3;324,3114;840,83;366,9725
703;6;0,0194;0;13,0769;28,1479;21,6987;6;0;0;0;0;58,1;261,6;9,4;116,9;205;345,5568;868,2674;398,8652
704;6;0;0,0316;13,4;19,961;18,2061;4;0;2;0;0;97,4;152,2;5,2;38,4;240,7;333,0731;771,0221;385,1759
705;6;0;0;12,8667;20,8649;16,7834;6;0;0;0;1;88,1;211,6;23,8;53,6;214;346,6472;788,5346;369,9382
706;6;0;0;13;25,6863;18,5219;4;0;1;0;0;77,9;136,2;14,2;150,5;116,8;331,1208;717,6636;325,3302
707;6;0,0516;0;13,1333;25,2505;21,0269;6;0;3;0;0;11;125,9;29;74,9;160,1;381,3232;864,0025;398,2255
708;6;0,07;0;13,1429;25,8811;17,9273;4;0;1;0;0;32,6;172,7;42,1;125,9;116,5;337,1947;727,339;328,4323
709;6;0,2893;0,3067;14;18,7816;21,905;19;0;0;0;6;51,9;150;31;120,8;144,4;393,7028;910,3396;345,1594
710;6;0,0236;0;14;21,2189;23,2694;24;0;0;0;1;50;107,9;20,2;55,8;84;348,4746;838,192;325,2352
711;6;0,0049;0;13;27,7906;21,7128;19;0;0;0;0;54,6;211,5;17,8;114,6;350,3;337,8334;790,2173;363,2789
712;6;0;0;12,8462;21,1348;16,7834;5;0;0;0;1;50,5;186,6;23,8;81,2;214;317,7857;783,2135;388,9912
713;6;0,1189;0,0048;13,7857;26,2356;20,0159;13;0;0;0;0;28,4;146,6;0;152,7;138,3;345,3926;843,8429;406,8731
714;6;0;0;12,8571;26,0574;19,3369;3;0;1;0;0;60,9;176,6;16,5;51,4;156,4;326,452;810,2074;395,6908
715;6;0;0;13,7647;26,3769;18,2178;5;1;0;0;0;19,2;104,8;31,6;77,5;193,8;392,4533;677,7288;383,3849
716;6;0;0;13,6471;25,041;19,3952;8;0;0;0;0;63,7;59,3;14,9;53,1;229,1;401,1394;801,895;369,2189
717;6;0;0;13,5882;24,2947;19,797;11;0;0;0;0;54,5;45,3;22;49,7;219,7;388,7806;770,1494;339,1056
718;6;0,0216;0;13,8333;28,0802;20,5755;8;0;0;0;1;43,7;36,5;23,3;80,9;257;436,0205;794,3288;361,1718
719;6;0;0;13,9333;27,8737;22,4314;3;0;0;1;0;20,6;35,6;34,2;65,3;234,9;402,7162;884,336;431,118
720;6;0,0219;0;13,4118;21,4971;18,8961;5;0;3;0;0;35;146,2;20,1;69,4;233,2;393,0736;846,5018;423,6368
721;6;0,5581;0,0312;13,7143;26,2924;21,7294;16;0;1;0;0;64,8;18,3;12,9;70,6;112,5;327,7109;764,9705;410,4295
722;6;0;0;13,8125;26,7319;17,4021;12;1;0;0;0;14,6;96,3;22,1;69,6;194;380,8174;770,6743;410,2697
723;6;0;0;13,5;24,9711;19,2533;6;0;1;1;0;38,1;91,7;31,6;90,4;193,8;316,6902;784,8526;402,1859
724;6;0,0353;0;13,7647;27,9821;15,7394;6;0;0;0;0;36,2;63,5;2,1;40,6;288,5;421,9895;795,4859;363,5806
725;6;0,0153;0,1856;13,7333;27,4555;18,6961;3;0;0;0;0;42,5;244,8;28,2;40,7;269;345,7501;785,425;374,2218
726;6;0;0;13,6471;24,0086;20,2996;15;0;0;0;0;43,2;36,3;14,9;68,6;249,1;389,2187;891,4219;401,7125
727;6;0;0;13,4118;25,7465;20,2064;20;0;0;0;0;92,4;194,8;26,2;47,3;204,4;389,4322;925,8005;350,7772
728;6;0,2181;0;13,5;26,0819;20,028;18;0;0;0;0;24,9;44,8;7,1;46,3;227,4;368,0251;931,2206;341,3297
729;6;0,0046;0;13,5294;25,1135;20,1878;15;0;0;0;0;53,9;38,5;22;96,9;257,5;378,9889;867,1298;365,9288
730;6;0;0;13,6667;25,3573;22,0256;7;0;5;0;0;104,4;112,2;7,3;72,7;164,1;447,4559;972,2261;454,2098
731;6;0,0417;0;13,8125;25,069;17,3876;10;0;0;0;0;25,3;59,8;27,3;87;255,1;373,3052;795,4531;395,5572
732;6;0,2913;0,1372;13,3125;21,2248;18,9941;3;0;5;0;0;105,8;61,5;89,6;66,5;215,6;357,1672;820,7161;392,7204
733;6;0,4344;0,0178;13,0714;22,8063;17,905;6;0;2;0;2;54,5;240,6;33,9;53;128,3;333,7132;820,4101;327,4114
734;6;0,0455;0;13,25;22,6359;18,8961;5;0;3;0;0;32,3;147,3;20,1;102,7;233,2;360,508;825,3731;407,1359
735;6;0;0,0172;12,9375;21,8837;20,4655;3;0;4;0;0;117,1;98,5;13,2;45,9;175,7;352,2632;802,7795;390,5582
736;6;0,0121;0;13;21,8515;20,4593;4;0;4;0;0;105,4;142,4;14,8;58,2;172;354,1856;813,6799;389,0808
737;6;0,1053;0;13,7647;28,0003;15,7394;6;0;0;0;0;36,9;66,3;2,1;64,3;288,5;410,125;771,5174;365,5152
738;6;0;0;13,625;23,4713;20,1807;15;0;0;0;0;77,2;80,8;45,7;91,6;176,7;387,5292;900,045;362,1305
739;6;0;0;13,4375;24,137;20,2064;19;0;0;0;0;121,7;164,8;26,2;72,4;204,4;362,1388;895,3348;404,1446
740;6;0,3524;0;13,375;24,7989;20,028;20;0;0;0;0;22,4;44,8;7,1;69,9;227,4;363,478;925,8005;365,1685
741;6;0,1023;0;13,8667;25,5942;17,3876;12;0;0;0;0;12,3;59,3;27,3;87;255,1;355,1018;797,724;396,8586
742;6;0;0,234;13,4615;23,33;22,9479;14;0;0;0;2;136,7;239,7;19;54,8;149,2;342,2758;810,3485;362,8739
743;6;0,2226;0,1757;13,2;21,3603;18,9941;3;0;5;0;0;105,8;61,5;89,6;66,5;215,6;336,2486;851,6848;395,4982
744;6;0,5641;0,0125;12,9333;22,2423;17,905;6;0;4;0;2;24,6;249,6;33,9;53,5;128,3;338,1296;814,0342;350,3797
745;6;0;0,0107;12,875;22,3733;20,4655;2;0;4;0;0;90,7;103,4;13,2;65,7;175,7;338,1041;788,0782;391,2869
746;6;0;0,0064;12,875;22,2025;20,4593;2;0;4;0;0;137,8;120,4;14,8;89,9;172;351,778;783,7474;392,5861
747;6;0;0;13,8462;28,8111;20,3728;5;0;0;0;0;18,4;146,2;58,6;89,9;156,8;318,5165;766,4929;350,4874
748;6;0;0;13,625;23,7913;20,1807;15;0;0;0;0;77,2;80,8;45,7;93,5;176,7;388,161;890,9046;388,9544
749;6;0;0;13,2941;24,5811;20,2064;19;0;0;0;0;123,7;162,8;26,2;77,8;204,4;381,3635;909,8233;377,6544
750;6;0,1881;0;13,8667;25,8493;17,3876;11;0;0;0;0;7,9;52,3;27,3;87,4;255,1;364,1076;804,3199;395,4013
751;6;0;0,2087;13,2308;24,0341;22,9479;13;0;0;0;2;133,5;238,5;19;104,8;149,2;338,9785;778,4593;375,0707
752;6;0,0182;0;13,8462;28,7593;20,3728;5;0;1;0;0;41,8;143,6;58,6;95,6;156,8;317,3134;734,823;370,7597
753;6;0,3966;0;13,5714;29,0299;17,6833;2;0;0;0;0;136,6;91,4;15,2;47,3;238,9;330,593;712,0732;365,1156
754;6;0;0;12,8571;25,9329;21,9477;5;0;0;0;0;55,4;181,2;6,1;172,8;102,8;359,0446;804,8297;362,1812
755;6;0;0;12,8571;27,1315;21,9477;5;0;0;0;0;103,9;169,4;6,1;103,7;102,8;361,6448;819,8485;333,6311
756;6;0,3966;0;13,5714;29,0299;17,6833;1;0;0;0;0;136,6;68,5;15,2;47,3;238,9;330,593;462,82;365,1156
757;7;1;0,3728;13,5333;24,1257;22,0721;10;0;0;0;0;7;42,8;2,1;27,6;112,9;384,2525;774,2214;408,3304
758;7;1;0,5984;13,5714;25,6487;22,1472;7;0;0;0;0;4,4;42,8;2,1;18,9;124,7;363,0355;801,9461;392,9544
759;7;1;0,2505;13,9333;24,4776;19,8436;16;0;1;0;1;0;28,7;24,9;36,6;145;415,1135;881,8211;370,0444
760;7;0,7334;0,1328;13;24,0355;21,0166;14;0;1;1;0;17,8;81,2;31,6;23,8;111,3;370,0969;783,6044;365,4551
761;7;1;0,3809;13,8125;25,0007;19,8436;15;0;1;0;1;0;28,7;24,9;37,9;145;435,8772;849,9589;366,9196
762;7;1;0,9828;14;27,6201;22,9105;25;0;0;0;2;0;7,8;0;15,6;42,4;408,6299;908,7397;374,3874
763;7;1;0,986;14;27,6201;22,9551;26;0;0;0;2;0;7,8;5,6;15,6;42,4;379,6168;937,7528;374,3874
764;7;1;1;12;27,8571;28,946;9;0;3;0;0;2,2;4,4;0;0;0;308,3069;801,9382;312,2896
765;7;1;1;12;28,2039;29,2672;17;0;0;0;0;0;1,8;0,3;0;0,9;278,5136;710,0582;323,208
766;7;0,8129;0,1582;12,9375;24,1142;21,0166;14;0;2;1;0;22,8;76,2;31,6;23,9;111,3;357,7198;795,6641;367,3577
767;7;0,9417;0,0668;13,8571;22,8276;17,8897;7;0;0;0;0;8,1;138;1,4;137,4;164,2;347,8025;847,2467;404,3462
768;7;1;0,5395;14;23,1024;19,9874;33;0;0;0;0;0,6;0,4;48;70,9;66,8;382,0896;1012,7837;438,4465
769;7;0,7319;0,0031;14;22,9912;20,2443;25;0;0;0;0;5;9,1;1,2;119,4;31,5;376,5758;971,4082;450,7679
770;7;1;1;13,8462;28,0803;22,9105;26;0;0;0;2;0;8,1;0;15,6;42,4;376,07;902,498;402,35
771;7;1;0,998;14;24,9865;21,6554;33;0;0;0;0;0;0;2,4;16,1;18,7;385,9632;1001,3605;425,9034
772;7;1;0,9847;11,4667;24,9498;27,2927;1;0;41;0;0;3,3;68;14,4;11,4;11,3;295,8854;766,6639;286,7422
773;7;1;1;12,7692;28,3409;29,5648;4;0;0;0;0;4,2;19;0;1;0,4;343,462;768,209;333,1933
774;7;1;0,9973;13;28,7009;23,8105;1;0;0;0;0;0;25,7;25,7;30,3;69,5;371,6446;805,5198;438,6254
775;7;1;0,9849;13,9167;23,5713;20,9587;4;0;0;0;0;0;1,4;0,5;47,6;19;349,1669;979,5564;454,8179
776;7;1;0,8248;12,8571;27,9351;24,0726;1;0;0;0;0;1,3;75,8;7,3;35,6;100,1;332,3034;829,5041;415,165
777;7;1;0,9973;13;28,7009;23,8105;1;0;0;0;0;0;22,6;25,7;30,3;69,5;371,6446;506,5121;438,6254
778;7;1;0,9849;13,9167;23,5713;20,9587;2;0;0;0;0;0;0,4;0,5;47,6;19;349,1669;616,7113;454,8179
779;7;1;0,8248;12,8571;27,9351;24,0726;0;0;0;0;0;1,3;50,7;7,3;35,6;100,1;332,3034;525,1388;415,165
780;7;0,9308;0,7037;13,6667;23,1373;23,1113;0;0;7;1;3;30,2;35,3;16,9;7,2;48,5;319,6598;616,3402;371,1535
781;7;0,8687;0,0181;13,8667;27,7816;23,3237;8;0;0;0;0;0;68,7;90,4;0,8;177,5;391,2365;733,496;382,2419
782;7;0,8223;0,3226;13,9286;25,731;23,9107;5;0;0;2;1;35,2;11,4;7;34,5;11,9;333,5087;607,9234;388,7914
783;7;0,9869;0,4764;13,7692;23,1759;23,1416;3;0;1;1;4;8,3;34,5;4;19,3;12,9;294,111;628,0517;322,3523
784;7;0,9269;0,8222;13,7333;22,7305;23,1113;0;0;7;1;3;30,2;35,3;16,9;7,7;48,5;319,5536;641,7853;380,3004
785;7;0,7979;0;13,9333;27,9376;23,6729;6;0;0;0;0;0;46,1;46,5;44,3;71,1;392,6275;753,4163;375,1996
786;7;0,9592;0,0616;13,7333;27,7034;23,3237;7;0;0;0;0;1,2;75,9;90,4;10,2;177,5;376,4495;761,3075;382,1926
787;7;0,9901;0,9782;13,6429;23,782;20,3967;23;0;0;0;0;11,7;0,9;20,2;0,9;38,6;367,6277;936,3301;342,436
788;7;0,7822;0,9765;13,7273;22,3792;20,7325;21;0;0;0;2;44,2;8,7;0;13,4;10,5;295,547;843,7453;349,8361
789;7;0,9176;0,2657;13,9286;24,6957;20,7972;17;0;0;0;0;17;129;18;42,3;55,4;366,3914;839,9826;362,1719
790;7;0,9598;0,9088;13,8462;25,3696;22,7724;23;0;0;0;0;29;90,6;8,3;47,8;34,2;343,8173;827,9093;343,6272
791;7;0,8766;0,773;13,9333;28,4431;25,468;7;1;9;0;1;43,8;70,2;8,3;58,7;42,7;390,9042;900,7182;396,2138
792;7;0,9223;0,3354;13,8571;24,299;19,1034;22;0;0;0;1;20,3;113,5;19,5;44,2;98,9;360,9817;850,4442;390,2188
793;7;0,6201;0,2372;13,8571;23,0473;18,4785;11;0;0;0;0;23,8;121,1;4,5;40;116,2;362,8969;868,0882;354,834
794;7;1;0,8391;13,9286;26,1533;21,9826;21;0;0;0;0;5,4;57,6;2,9;37,9;82,3;373,7012;843,908;356,0612
795;7;1;0,9693;13,8571;24,4752;20,3967;24;0;0;0;0;1,1;0,9;20,2;0,9;38,6;382,1652;904,7632;353,102
796;7;0,7908;1;13,9091;22,3752;20,7325;20;0;0;0;2;44,2;8,7;0;13,4;10,5;321,4022;868,9612;323,7552
797;7;0,8516;0,0431;14;26,5141;25,0108;16;0;2;0;0;17,6;83,8;37,9;94,2;90,7;337,8596;767,304;354,9884
798;7;0,8654;0,3215;13,8571;25,338;20,7972;20;0;0;0;0;69,3;76,7;18;42,3;55,4;345,0629;832,8226;388,8824
799;7;0,9588;0,948;13,8462;25,9625;22,7724;23;0;0;0;0;29;90,6;8,3;47,8;34,2;325,5826;822,8646;371,1683
800;7;0,8751;0,9284;14;28,4815;25,468;4;1;18;0;1;32,6;72,5;8,3;58,9;42,7;370,4908;975,7523;380,8573
801;7;0,9779;0,4898;13,8571;24,7506;19,1034;24;0;0;0;1;20,3;113,5;19,5;44,2;98,9;346,2948;839,9563;399,0863
802;7;0,8583;0,1749;13,8571;23,8978;18,4785;11;0;0;0;0;23,8;121,1;4,5;40;116,2;364,5875;848,9794;354,0341
803;7;0,9222;0,4142;13,9333;24,8491;21,5119;20;0;0;0;0;37,3;135,8;2,9;53,8;82,8;355,4791;824,3453;373,2887
804;7;0,7142;0,03;13,8;24,1701;25,416;17;0;1;0;0;48;42,2;21,3;40,6;72,3;357,4112;809,969;400,8809
805;7;0,975;0,4066;14,4667;25,1492;23,7089;12;2;1;1;1;44,2;137,3;20,9;15,8;33,9;382,2916;819,608;325,165
806;7;0,8069;0,41;13,6923;23,641;23,9124;4;0;1;2;1;35,2;12;7;34,7;16,6;304,3922;675,7765;397,8493
807;7;1;0,5128;13,7692;20,5461;23,3682;3;0;1;1;4;0,2;34,5;4;28,6;13;319,2926;659,9693;315,58
808;7;0,9502;0,0852;13,625;22,973;22,042;6;0;1;0;0;8,9;180,2;2,7;80,6;68,5;404,7404;874,1675;414,6829
809;7;0,9107;0,0216;13,7857;27,3222;23,8076;4;0;10;0;0;0,1;58,3;46,5;7,7;114;347,0836;969,7662;382,5886
810;7;1;0,1644;13,5714;26,5871;23,6385;6;0;17;0;0;1,2;84,5;90,4;16,1;177,5;344,1726;987,1225;396,7459
811;7;0,7954;0,0607;13,8571;25,5273;24,8558;16;0;3;0;0;44,2;56,2;21,3;40,9;83,3;337,9252;818,7512;394,1982
812;7;0,7859;0,0284;13,6;25,2458;24,9683;17;1;1;1;0;37,8;63;8,5;120;26,2;352,5066;829,877;411,714
813;7;0,741;0,0675;13,9231;26,2639;18,9679;19;0;0;0;0;13,3;61,6;9,1;22,1;81;349,6986;858,8563;389,7144
814;7;0,8166;0,5345;13,3077;23,5548;23,9032;1;0;1;1;1;35,2;12,5;7;43,9;21,1;293,8374;706,0093;364,1483
815;7;0,7932;0,2808;13,3125;25,7753;21,8021;5;0;2;0;0;187,9;1;2,7;29,2;123,3;366,6449;932,7668;412,7771
816;7;1;0,2599;13,3571;24,4751;24,3828;4;0;0;0;0;0,1;56,5;46,5;42,9;114;330,0336;666,3107;420,0847
817;7;1;0,3963;13,1333;23,8417;24,3381;4;0;0;0;0;1,6;67,1;90,4;69,9;178,3;345,7969;574,5452;400,2408
818;7;1;0,6908;13,9333;25,5138;21,9826;22;0;0;0;0;7,2;55,8;2,9;11,2;82,3;408,9942;835,2205;357,7489
819;7;0,855;0,0896;13,4667;25,4397;24,9683;15;0;1;2;0;37,8;63;8,5;120;26,2;349,0218;789,2093;415,1938
820;7;0,8487;0,0649;13,8571;26,2802;18,9679;21;0;0;0;0;10,6;60,4;9,1;23,9;81;382,392;834,8533;350,3646
821;7;0,9276;0,6144;13,9375;28,3981;25,468;7;1;7;1;0;43,8;70;8,3;57,8;42,7;412,9614;896,2153;407,0765
822;7;0,6648;0,421;13,4667;26,1687;21,8021;5;0;2;0;0;180,6;1;2,7;29,2;123,3;356,7798;917,248;418,5328
