Sample;CLUSTER;IWS_R1-R2;IWS_V12-R1;MOYDAY_R1-R2;MOYRG_V7-V12;MOYRG_VE-V7;NBDMAX1_R2-R6;NBDMIN1_R1-R2;NBDMIN1_R2-R6;NBDMIN1_V12-R1;NBDMIN1_V7-V12;SUMH2O_R1-R2;SUMH2O_R2-R6;SUMH2O_S-VE;SUMH2O_V7-V12;SUMH2O_VE-V7;SUMRG_R1-R2;SUMRG_R2-R6;SUMRG_V12-R1
823;7;1;0,7671;13,9333;25,7775;21,9826;22;0;0;0;0;5,5;55,9;2,9;23,6;82,3;402,9988;829,0346;360,0151
824;7;1;0,5122;14;24,316;21,6796;18;0;0;0;1;0;8,3;5,9;52,1;47,4;373,077;929,8098;415,6538
825;7;1;0,654;13,4615;20,1198;23,7044;1;0;17;0;5;1,2;46,9;4;16,4;25,2;304,6648;757,7467;303,8177
826;7;0,7493;0,2794;12,2353;24,9432;26,091;6;2;39;0;0;13;99,7;0;51,5;27,1;363,2753;885,5226;298,9915
827;7;0,9596;0,948;13,8462;25,9625;22,7713;14;0;0;0;0;29;87,2;8,3;47,8;34,2;325,5826;514,2672;371,1683
828;7;0,9138;0,7367;13,9231;26,2174;21,4626;14;0;0;0;0;26,4;113,8;5,9;74,8;45,9;355,8341;535,6213;344,5816
829;7;0,9225;0,4142;13,9333;24,8491;21,5119;12;0;0;0;0;37,3;100,3;2,9;53,8;82,8;355,4791;523,507;373,2887
830;7;0,2199;0,7617;14,4375;20,2939;22,4604;4;0;1;4;1;47,8;31,4;10,7;28;66,3;336,0514;667,4663;413,1911
831;7;0,9719;0,7912;13,5;22,4828;19,2021;17;0;0;0;0;35,9;73,3;0;12,5;47,9;363,2501;802,5736;432,9608
832;7;0,8707;0,949;13,4706;22,438;21,3588;15;0;0;0;0;50,9;18,2;0,8;20,2;48,2;393,7082;816,1387;412,2454
833;7;0,571;0,3869;13,7778;24,3564;20,3314;16;0;0;0;0;112,6;93,6;2;71,3;34,5;439,1586;802,3255;468,2495
834;7;1;0,3535;13,8667;23,6512;18,4308;8;0;7;0;2;10,5;85,3;17;26,7;118,3;396,958;818,4272;444,8531
835;7;0,8787;0,9496;13,5;22,8825;21,5645;13;0;0;0;0;38,1;22,2;0,8;21,4;48,2;375,1693;848,1434;425,9412
836;7;0,7404;0,2733;13,5385;28,186;20,8996;1;0;0;0;1;55,6;46,7;0;3,2;89,9;288,8381;738,3298;308,1823
837;7;0,3863;0,5343;13,6875;24,9308;20,5559;14;0;0;0;0;109;174,5;2;71,3;34,5;403,7;898,3271;465,0862
838;7;0,8951;0,5176;13,8667;26,1412;18,7804;7;0;10;0;2;29,5;66,1;17;2,8;142,2;385,294;843,151;430,6529
839;7;0,8815;0,1185;13,5385;21,4727;24,1528;0;0;0;0;0;19,7;76,5;33,9;55,1;28,5;281,0999;752,7254;312,2564
840;7;0,9854;0,8834;13,6667;24,837;21,5566;10;0;1;0;0;10,5;57,5;0,8;45;51,5;388,4072;907,3325;372,5219
841;7;1;0,9998;13;27,6204;26,2115;13;0;0;0;0;0;38,1;0;0,7;46,9;335,2036;769,8589;333,2243
842;7;0,7511;0,9987;13,7857;24,0616;19,5009;0;0;0;0;0;44,1;0;0,1;10,7;162,6;406,2535;986,954;393,1261
843;7;1;0,9111;13,8571;25,1296;23,251;11;0;0;0;0;5,7;14,9;3,1;32,1;54,1;383,1109;933,2993;371,8069
844;7;1;0,9973;13,9333;24,484;21,2069;30;0;0;0;0;6,2;0,9;0;30,1;78,6;434,2756;1048,8769;385,2259
845;7;1;0,8902;12,8;25,8275;27,6214;0;0;3;0;0;4,4;62,6;67,2;25,6;33,2;359,7491;680,8018;364,6163
846;7;1;1;12;27,2315;28,6704;5;0;0;0;0;3,9;10,6;0;2,6;1,6;311,1394;614,3821;334,5376
847;7;0,8409;0,014;13,2857;24,5223;20,237;0;0;0;0;0;8,4;31,2;0,5;112,9;91,5;369,0058;898,6936;430,8527
848;7;1;0,9646;13,9286;23,9921;20,487;3;0;0;0;0;9,4;0,8;0,1;43,4;107,3;405,9756;964,2546;387,4403
849;7;0,9557;0,4416;13;26,5447;19,7947;0;0;0;0;1;23,1;25,6;3,2;44,4;120,2;385,7987;945,5958;403,4437
850;7;1;0,9646;13,9286;23,9921;20,487;2;0;0;0;0;9,4;0,2;0,1;43,4;107,3;405,9756;619,3631;387,4403
851;7;0,9995;0,9845;14,1765;26,462;21,5342;0;0;0;5;0;12,4;119,8;57,6;7;52,7;330,8454;597,7966;443,727
852;7;0,9999;0,9825;14,0588;26,1334;21,5342;0;0;5;5;0;14,3;119,9;57,6;7;52,7;325,093;647,9464;431,4506
853;7;0,9999;0,9825;14,0588;26,1334;21,5342;0;0;5;5;0;14,3;119,9;57,6;7;52,7;325,093;647,9464;431,4506
854;7;0,9492;0,8851;12,9412;28,0094;18,9591;2;1;8;0;0;27,2;16;21,8;1,2;109,6;331,8998;711,9137;368,8276
855;7;0,9816;0,8827;12,9444;26,0727;18,3339;1;1;15;0;1;23,7;30,8;14,5;8,3;91,2;373,7848;712,1236;394,1528
856;7;0,8801;0,8975;13,625;20,6544;20,0994;0;0;0;0;1;21,2;54,5;20,4;20,6;105,3;387,2592;688,8748;386,4132
857;7;0,8249;0,1289;14,6667;24,0133;20,6072;0;0;1;0;0;46,8;39,5;9,7;41,2;168,2;442,2348;724,0907;330,9106
858;7;0,9582;0,6701;13,8;22,095;21,539;5;0;0;0;0;44,5;68,3;11,1;5,3;105,9;437,9;843,3828;442,2902
859;7;0,8711;0,6952;13,6;24,4159;21,372;5;0;0;0;0;54,3;50,8;11,1;8,2;97,7;416,3764;843,615;429,7849
860;7;0,6701;0,8974;13,125;20,4136;20,3123;0;0;4;0;0;42,3;37,8;20,4;10,1;117;367,317;825,3576;403,3901
861;7;0,6701;0,8974;13,125;20,4136;20,3123;0;0;4;0;0;42,3;37,8;20,4;10,1;117;367,317;825,3576;403,3901
862;7;0,9054;0,952;13,8125;21,4498;19,9191;0;0;2;0;1;34;52,5;66,6;37;154,1;390,3368;893,9808;360,806
863;7;0,8151;0,0622;13,3125;21,4771;22,3026;4;2;5;0;0;48,9;66,8;21,9;6,7;155,5;376,4243;863,8603;384,9448
864;7;0,6414;0,8985;12,9375;21,1846;20,3123;0;0;4;0;0;48,5;31,8;20,4;10,1;117;350,3635;821,079;400,9763
865;7;0,6414;0,8985;12,9375;21,1846;20,3123;0;0;4;0;0;48,5;31,8;20,4;10,1;117;350,3635;821,079;400,9763
866;7;0,7566;0,9829;13,625;21,9408;19,9191;0;0;2;0;1;34;52,5;66,6;37;154,1;375,1423;843,178;372,7516
867;7;0,8352;0,1191;13,125;22,0071;22,3026;4;1;5;1;0;46,7;67,5;21,9;6,7;155,5;379,0426;853,4873;379,6859
868;7;0,4987;0,451;13,9286;27,8198;23,9827;22;0;0;3;6;100;152;34,8;50,1;3;401,0083;865,1948;413,7448
869;7;1;1;13,9231;26,8464;18,9527;22;1;0;1;4;0;1,7;12,7;0,1;37,9;358,9265;887,3219;360,2974
870;7;0,6329;0,9598;12,8125;21,8224;20,3123;0;0;4;0;0;50,7;43,5;20,4;28,6;117;346,999;789,458;400,131
871;7;0,8445;0,2192;13;22,0401;22,3026;4;1;5;1;0;60,7;71,7;21,9;6,7;155,5;366,4458;838,1513;390,91
872;7;0,4461;0,9069;13,7857;25,791;19,6399;0;0;0;0;0;59,5;102;19,4;24,7;145,2;343,0112;756,1152;349,357
873;7;0,9394;0,9071;13,7143;25,5243;19,8828;15;0;0;0;0;21,4;83,6;23,9;19,3;259;332,4816;757,5642;377,478
874;7;0,9322;0,5769;13,8;26,7446;14,6656;9;0;0;0;0;26,2;249,8;27,9;7,7;214,4;353,4372;747,0234;383,422
875;7;0,5107;0,3414;13,9231;28,0052;23,9827;22;0;0;0;9;50,8;151,4;34,8;50,1;3;352,2712;899,374;388,4317
876;7;1;1;13,9167;26,8684;18,9527;23;1;0;1;4;0;1,7;12,7;0,1;37,9;325,2553;888,1038;397,5034
877;7;0,9467;0,6087;13;22,6808;19,2393;5;0;5;0;2;31;73,3;43,2;24;110,8;310,1872;841,8676;387,1634
878;7;0,3503;0,9707;13,7857;26,176;19,6399;0;0;0;0;0;39;73;19,4;25,1;145,2;335,7346;752,4803;326,0128
879;7;0,9414;0,9431;13,7692;26,3045;19,8828;15;0;0;0;0;20,8;84,4;23,9;19,3;259;327,9658;761,724;340,1086
880;7;0,9916;0,7129;13,6;26,4098;14,6656;6;0;0;0;0;12,1;249,9;27,9;35,2;214,4;356,1293;732,7523;371,6964
881;7;0,9991;0,8239;10,8889;23,8148;26,5191;0;1;21;0;0;4,8;116,9;23;42;0,4;306,8942;652,7614;328,4536
882;7;1;1;12;26,1966;28,5523;6;0;0;0;0;5,5;1,1;0;0;0;292,0918;690,8562;327,622
883;7;1;1;11,9167;26,499;28,4242;11;0;0;0;0;0,8;1,2;0;0;0,3;273,9647;666,8042;302,0688
884;7;0,9966;0,4713;13,9286;25,3293;21,1029;4;0;0;0;0;2,8;4,1;46,7;21,9;92,2;411,6244;956,5744;398,565
885;7;1;1;14;24,1769;20,3515;0;0;0;0;0;0;0;18,5;7,6;29,9;385,2122;966,6979;428,1088
886;7;0,9787;0,9892;13,4706;26,3932;23,0268;2;0;0;0;0;23;42,4;6,1;22,7;59,7;413,2422;976,1533;410,5181
887;7;1;0,7798;14;24,1745;21,3314;33;0;0;0;0;5;16,5;27,7;13,6;37,2;442,553;1020,5514;444,0042
888;7;0,887;0,3383;13,8571;27,5292;18,2256;14;0;0;0;0;33,7;141,9;7,8;16,9;168,3;345,1536;763,2043;351,9958
889;7;0,883;0,6512;13,7692;28,1863;20,4874;8;0;0;0;0;29,6;21,8;19,4;50,1;171,9;315,2783;471,7944;342,4468
890;7;0,5587;0,7476;13,8333;28,631;24,5633;14;0;0;0;0;75,7;19,9;30,5;66,5;154,3;297,5616;460,6636;332,1169
891;7;0,835;0,8529;13,8462;28,6099;24,435;12;0;0;0;0;54,5;11,7;82;58,5;99,7;318,7645;457,7846;327,973
892;7;1;0,9112;12,8667;27,4645;23,9437;15;0;0;0;0;1,2;1,1;27,6;81,2;16,9;415,5703;581,6426;394,8228
893;7;1;0,9552;12,8;28,343;24,2816;5;0;0;0;0;0;2,3;48,5;81,2;10,2;388,4782;573,1492;416,0218
894;7;0,8604;1;11;25,8092;27,7506;0;0;0;0;0;30,8;97,5;3;0,8;0,5;309,402;413,694;296,4722
895;7;0,5786;0,9949;11;25,6781;27,2807;0;1;0;0;0;64,5;46,6;0,1;0,4;6,7;315,05;423,3553;308,5578
896;8;0;0;13,2857;23,077;18,0554;0;3;16;7;1;101,3;78,6;0;90,9;117,7;374,9141;720,5519;454,6411
897;8;0;0;13,0455;20,7987;17,6207;0;11;44;8;6;106,4;195,2;129,5;27,6;323,4;387,5645;753,4609;399,1781
898;8;0;0;13,1429;22,4959;18,0554;0;4;18;4;4;79,5;79,2;0;111,5;117,7;366,2093;730,0526;438,6802
899;8;0;0;13,2857;22,8596;17,6011;0;5;9;6;2;125,7;93,5;2,4;68,2;203,4;422,5183;753,6017;444,4978
900;8;0;0;13,25;24,4905;19,3725;0;6;21;6;5;219,1;102,4;49,1;131,7;284,3;397,1574;781,7447;407,7767
901;8;0;0;13,7333;21,2575;20,6031;0;1;11;8;8;107,7;174,2;14;55,3;162,9;355,7221;773,4319;382,6973
902;8;0,2956;0;13,7333;21,6519;19,1949;1;1;10;8;5;23,8;68;25,1;93,2;190,8;348,6168;714,7987;467,3902
903;8;0;0;13,0952;23,4515;17,7712;0;9;21;9;3;107,1;155,5;5,7;134,3;291,1;411,0538;799,6561;437,4126
904;8;0;0;13,1905;23,3024;17,6011;0;5;13;5;3;113,5;93,5;2,4;68,2;203,4;417,8063;786,6814;421,9283
905;8;0;0;13,6;22,4148;20,2992;0;2;10;8;7;101,1;180,4;14;58,8;171,7;346,4381;821,6338;388,2409
906;8;0;0,0161;13,3529;24,193;17,7783;0;0;5;4;3;58,2;89;33,3;27,3;245,2;373,3798;738,6044;434,5452
907;8;0,4112;0;13,6875;22,1348;19,0833;1;1;9;9;5;35;56,8;25,1;77,4;209;353,1582;769,563;458,8996
908;8;0;0;13,1667;23,4297;18,5667;0;1;13;5;3;163,6;168,5;53,9;33,2;282,3;400,3661;830,2975;430,0362
909;8;0;0;13,6667;26,0379;19,4096;0;5;15;5;9;76,5;153,4;33,9;67,5;193,3;365,9785;765,9047;402,0818
910;8;0,0732;0,3967;13,3333;26,1392;20,0063;1;2;1;3;3;71,1;130,8;124,7;96,9;243,5;405,2272;706,8182;422,7145
911;8;0;0;13,0556;25,7982;18,1083;0;2;10;4;3;47,7;98,5;33,3;23,9;248,6;392,8662;758,1197;420,1733
912;8;0;0;13,5;24,9559;20,3785;0;5;24;3;11;107;130,9;33,9;83,6;226,2;363,8819;798,583;373,2102
913;8;0,5857;0;13,3846;20,0081;17,0138;0;6;1;6;0;18,8;76,1;2,3;156,2;155,7;384,8263;408,2782;384,1805
914;8;0;0;12,9565;25,1998;18,0137;0;8;11;6;7;158,1;31,5;41,2;43;343,4;416,7486;476,906;435,6043
915;8;0;0;13,1364;26,2551;16,5683;0;5;4;6;2;62,8;24,8;10,4;22;184,8;441,1825;456,5027;474,5873
916;8;0;0;12,7917;25,4595;18,0137;0;10;12;6;7;141,3;55,9;41,2;43;343,4;448,8646;434,5254;441,473
917;8;0;0;13,0435;26,2094;16,5683;0;5;4;4;4;66,1;20,4;10,4;22;184,8;452,4941;457,9495;447,097
918;8;0;0;13,0952;23,4515;17,7712;0;9;10;9;3;107,1;97;5,7;134,3;291,1;411,0538;522,7186;437,4126
919;8;0;0;12,913;26,4811;16,5683;0;7;2;4;4;46;72,1;10,4;22;184,8;458,6918;447,2424;451,7809
920;8;0,1248;0;13,75;20,0554;18,7713;0;3;5;5;4;37,9;54,5;29,1;73,8;173,5;388,1329;474,3374;450,6145
921;8;0;0;13,8571;22,5791;21,2626;0;0;4;7;0;58,4;38,8;12,2;30,4;26,3;306,5875;614,4214;440,7725
922;8;0;0;14,0667;22,1513;21,1696;0;0;5;9;0;38,4;43,7;20,8;50,1;54,5;330,8123;579,0971;434,6399
923;8;0;0;13,2941;23,4822;22,6226;0;1;33;7;3;98,2;144,3;11,6;32,1;95,7;340,0092;844,0812;414,864
924;8;0;0;13,4118;23,0537;23,1421;0;2;53;8;3;73,4;95,9;2,3;57,7;32,2;334,2539;886,9255;408,0204
925;8;0,0876;0;12,6667;13,3383;16,6424;0;10;29;10;4;29,4;46,2;22;11,3;26;391,5659;392,4328;437,6257
926;8;0,3015;0,0399;12,92;20,5226;20,7076;0;5;7;6;3;57,7;59,7;83,7;34,5;78,3;337,6876;391,9763;373,2214
927;8;0;0;13,4118;23,0537;23,1421;0;2;19;8;3;73,4;79,5;2,3;57,7;32,2;334,2539;536,8172;408,0204
928;8;0;0;13,3158;21,6252;21,9649;0;1;27;6;0;88,1;71,6;5,5;92,1;41,9;355,1396;613,8796;393,1279
929;8;0,3703;0;12,7895;20,4176;24,7906;3;5;14;1;0;19,7;87,2;18,9;109;74,4;411,3248;593,2069;422,8618
930;8;0,4599;0;14,0526;24,3983;19,9297;6;3;1;8;1;21,4;60,9;0,8;62;60;418,262;686,1586;473,2207
931;8;0,4137;0;14,6842;24,0858;17,2362;0;5;2;8;1;7,8;69,4;1,5;4,5;51,7;447,4476;757,6661;424,148
932;8;0,3221;0;14,5294;23,3473;18,9574;0;4;1;9;2;31,6;35;10,1;56,9;95,7;379,9462;742,1684;440,9158
933;8;0,7393;0;13,8125;21,7862;21,8795;10;5;0;9;1;14,2;46;14,6;156,6;74,7;401,495;699,395;451,4537
934;8;0,4504;0,0009;13,6471;19,815;19,1683;2;2;0;4;0;39,7;26,9;16;120,7;152,5;384,1873;708,0257;423,752
935;8;0,4018;0;14,5;21,9545;19,199;0;4;3;9;2;27;73,3;10,1;54,6;98,2;392,8788;810,2131;422,7966
936;8;0,8329;0,0267;13,8125;21,7433;21,5794;11;5;2;9;1;26,6;40;14,6;159,3;78,1;396,6574;790,974;475,434
937;8;0;0;13,75;20,8062;20,3;6;5;4;9;4;66,3;118,8;0,6;140;80,3;403,9895;793,9228;489,6839
938;8;0,5452;0;13,7059;19,6577;19,2368;2;1;1;5;0;32,9;33,3;16;85,6;190,8;391,3553;750,0208;413,1468
939;8;0;0;13,8125;20,3175;20,9116;6;4;9;6;8;47,1;113,4;0,6;101,7;139;406,1722;812,9938;468,4936
940;8;0,4721;0;13,8125;23,4195;21,5341;10;3;4;7;1;14,2;40,5;14,6;132,9;72,1;410,4929;721,2506;390,15
941;8;0,1757;0;13,7778;22,5617;19,1683;2;2;0;4;0;28,4;37,1;16;73,4;152,5;418,6267;642,7163;401,7233
942;8;0,2934;0;13,7647;21,2594;19,1683;2;2;0;4;0;28,4;38,6;16;120,5;152,5;385,1334;673,268;415,3414
943;8;0,5491;0;13,8;21,1322;18,4991;0;2;1;7;0;33,8;31,4;2,4;95,4;75,6;466,3015;388,6135;494,6976
944;8;0,3408;0;13,7647;22,8128;18,9881;2;2;0;4;0;28,4;29,1;15,3;129,2;140,3;385,1334;392,5555;423,0259
945;8;0,6614;0;13,6842;21,8875;18,4991;0;2;1;7;0;33,1;31,2;2,4;95,7;75,6;447,8972;443,3;495,95
946;8;0,2741;0;13,6471;23,2174;19,6021;0;0;1;8;1;32,9;31,2;0,6;95,8;75,5;397,5005;439,596;467,4316
947;8;0,4381;0,0002;13,6471;20,8182;18,9881;2;2;0;4;0;34,2;23,2;15,3;133,6;140,3;379,9019;421,0592;425,52
948;8;0,6519;0,0018;13,8125;21,9071;21,8003;7;4;0;9;1;28,3;27,6;2,2;111,2;94,7;392,0288;465,9653;448,5204
949;8;0,5745;0;12,6667;27,9548;21,9693;3;4;4;1;0;16,6;111,7;2,3;131,8;177,8;387,2887;564,9343;389,398
950;8;0,7277;0,0573;13,875;22,9856;18,9565;0;2;12;7;2;45,4;57,8;14,7;7,2;119,9;334,0076;688,3214;508,5234
951;8;0,1952;0,0163;13,0526;27,6983;18,1081;2;3;19;6;2;26,8;29,6;43,8;1,7;85,8;303,7043;662,8662;435,1514
952;8;0,3401;0;13,8667;26,271;18,0633;0;0;8;7;0;18,3;82,4;17,3;16,6;70,3;327,7174;628,5604;400,1872
953;8;0,6097;0,0922;13,8889;27,1191;21,6138;1;1;3;5;0;36,4;39,2;176,3;13,4;221,3;379,9876;684,2574;485,1144
954;8;0,4131;0;13,9048;23,6064;19,573;0;6;16;3;1;47,4;44,6;20,9;18,6;124,4;390,7742;681,9329;391,4122
955;8;0,7404;0,1207;13,6875;24,5971;18,9565;0;2;13;7;2;45,1;57,6;14,7;7,2;119,9;336,4175;680,4058;483,9412
956;8;0,5123;0;13,5882;23,3849;20,6675;0;1;15;9;0;18,5;131,6;35,6;46,3;97,5;323,9366;661,5151;452,2298
957;8;0,4573;0;13,8;26,9614;18,0633;0;0;12;6;1;7,3;90,8;17,3;16,6;70,3;304,5168;660,4708;352,4062
958;8;0,7196;0,0768;13,6111;25,3438;21,6138;1;2;2;6;0;13,2;37,7;176,3;17,1;221,3;346,5284;677,7389;512,3084
959;8;0;0;13,6667;26,0893;21,4904;0;3;8;4;1;47;36;88,7;35,2;96,3;383,6164;720,9241;434,9804
960;8;0,443;0,1576;13,4444;25,9068;23,6892;0;1;3;6;1;44,6;41,7;51,3;24,8;27,8;339,0883;674,6339;403,4444
961;8;0,7404;0,1207;13,6875;24,5971;18,9565;0;2;13;7;2;45,1;57,6;14,7;7,2;119,9;336,4175;680,4058;483,9412
962;8;0,5123;0;13,5882;23,3849;20,6675;0;1;15;9;0;18,5;131,6;35,6;46,3;97,5;323,9366;661,5151;452,2298
963;8;0,4573;0;13,8;26,9614;18,0633;0;0;12;6;1;7,3;90,8;17,3;16,6;70,3;304,5168;660,4708;352,4062
964;8;0,7196;0,0768;13,6111;25,3438;21,6138;1;2;2;6;0;13,2;37,7;176,3;17,1;221,3;346,5284;677,7389;512,3084
965;8;0;0;13,6667;26,0893;21,4904;0;3;8;4;1;47;36;88,7;35,2;96,3;383,6164;720,9241;434,9804
966;8;0,443;0,1576;13,4444;25,9068;23,6892;0;1;3;6;1;44,6;41,7;51,3;24,8;27,8;339,0883;674,6339;403,4444
967;8;0,6388;0;14;22,1302;19,6057;5;8;4;1;5;24,4;120,4;13,6;121,9;115,1;421,8523;679,9525;361,1984
968;8;0,1682;0;13,625;21,6127;17,7387;0;4;7;3;1;27,9;83,3;21,2;56,7;153,8;321,2003;697,648;413,3023
969;8;0,8483;0,1213;13,5;25,1613;21,6138;1;2;2;6;0;21,2;27,4;176,3;19,3;221,3;355,8812;677,7187;497,1546
970;8;0,1733;0,0069;13,6429;25,6643;21,2212;0;2;19;8;2;60,7;116,6;35,5;11,8;149,9;333,4684;810,8413;425,4181
971;8;0,2447;0;13,625;21,096;19,043;0;4;2;3;1;23,9;81,7;48,9;31,7;155,5;314,1655;634,4424;424,9105
972;8;0,3336;0;13,5333;23,2232;19,043;0;2;5;5;1;25,3;80,6;48,9;31,7;155,5;293,1577;654,9217;435,6043
973;8;0,4928;0;13,625;24,1896;19,043;0;0;11;7;1;25,2;85,1;48,9;31,7;155,5;322,4207;666,5152;406,6348
974;8;0,7485;0,0098;14;21,5856;19,8227;5;8;4;0;6;25,3;119,5;13,6;145,8;115,1;404,8193;751,7372;354,1298
975;8;0;0;13,2381;27,1872;21,0411;0;6;14;9;1;79,8;70,2;99,4;15,2;104;354,1388;485,4686;421,0362
976;8;0,0257;0;13,3158;26,4546;21,41;0;3;9;6;1;119;43,2;58,8;8,9;131,9;347,7733;444,8498;464,3921
977;8;0,3591;0;13,2222;23,611;18,2624;0;0;2;5;0;37,4;69,8;15,9;52;120,4;311,827;407,1402;444,1295
978;8;0,1912;0;13,5;22,6921;20,2743;0;4;5;6;2;18,8;64;24,6;73,7;78,9;306,6908;371,052;461,848
979;8;0;0;13,2381;25,2703;21,0411;0;6;19;8;2;75,9;59,8;99,4;38,2;104;367,087;532,7759;411,3875
980;8;0,0212;0,0021;13,25;26,1691;21,41;0;5;10;6;1;117,8;39,8;58,8;9,2;131,9;357,1999;451,7759;441,2009
981;8;0,1733;0;14;23,6924;17,9211;0;3;2;12;2;46,7;64,2;14,7;171,1;113,3;384,597;364,5317;456,7255
982;8;0,4272;0;13,2778;23,3015;18,2624;0;0;5;5;0;29,2;77,4;15,9;80,7;120,4;324,715;456,764;424,8079
983;8;0,2901;0;13,4706;23,2162;20,2743;0;4;3;8;2;21,6;62,3;24,6;73,7;78,9;327,7804;385,8793;468,3341
984;8;0,0117;0;13,2381;25,4471;21,41;0;5;12;3;4;105,4;38,3;58,8;15,7;131,9;390,8502;473,4364;369,7765
985;8;0,5905;0,0029;13,5625;23,7628;19,5743;0;0;2;7;0;25,8;77,5;30,2;31,1;153,7;321,7738;404,0417;412,1968
986;8;0,3984;0;13,5333;23,2232;19,043;0;2;2;5;1;25,3;78,6;48,9;31,7;155,5;293,1577;393,3731;435,6043
987;8;0;0;13,4;27,2648;21,0411;0;4;15;10;0;81,7;74,7;99,4;15,2;104;355,5932;518,1152;465,1456
