Sample;CLUSTER;IWS_F1-M0;IWS_M0-M3;MOYDAY_E1-F1;MOYDAY_F1-M0;MOYDAY_M0-M3;MOYDAY_VE-E1;MOYPTQ_F1-M0;MOYPTQ_M0-M3;MOYTMIN_S-VE;NBDMAX1_E1-F1;NBDMIN1_E1-F1;SUMH2O_E1-F1;SUMH2O_F1-M0;SUMH2O_M0-M3;SUMH2O_S-VE;SUMH2O_VE-E1;SUMRG_E1-F1;SUMRG_F1-M0
1;1;0,0676;0,7501;14,3684;13,85;12,9706;13,6786;1,4755;1,1772;14,3833;0;1;29,2;22,7;37,6;4;91,2;424,4141;440,8254
2;1;0,0116;0,888;14,6316;14,4118;13,871;13,75;1,2503;1,4589;8,9667;0;0;80,9;19,4;7,5;2,3;40;457,8358;377,9734
3;1;0,0101;0,8938;14,6471;14,2353;13,7778;13,5484;1,105;1,3779;12,95;0;0;44,7;34,2;4,8;0;10,3;430,9866;348,6794
4;1;0,0471;0,8839;14,3529;14,1429;12,4571;14,6667;1,4928;1,3335;12,2571;0;0;21,8;14,6;45,5;24,3;81,6;364,9802;444,2774
5;1;0,0495;0,4315;14,6667;14,2222;12,6875;13,5455;1,4541;1,2336;10,6857;1;1;64;83,9;60,9;3,3;74,6;447,2957;454,9723
6;1;0,1161;0,6902;14,5238;14,25;12,7778;13,3404;1,3416;1,2661;10,55;1;0;31,6;31,4;82;7,5;119,6;410,3842;409,3099
7;1;0,5411;0,1989;14,6842;14,5;12,875;13,8125;1,4645;1,2699;11,1286;2;1;37,1;42,1;143,5;2,7;37,7;492,4379;409,1666
8;1;0,2398;0,9963;14,4211;14,1111;12,6452;14,4516;1,3933;1,253;9,8875;1;1;17,7;9,5;2,3;1;44,9;431,3884;412,547
9;1;0,0296;0,9158;14,4;14,4211;12,7241;14,3548;1,6749;1,2141;8,9;0;1;73,9;10,8;9,7;11,5;65,3;438,0959;485,3718
10;1;0;0,5075;14,2778;13,7143;12,8485;13,8333;1,5525;1,4421;7,3455;0;0;67,2;57,2;17,6;13,7;112,7;366,4789;455,8889
11;1;0;0,7574;14,4211;14;12,931;14,069;1,6662;1,2766;9,9667;0;0;65,8;35,4;12,5;9,8;72,9;392,2445;492,6222
12;1;0;0,6645;14,4444;14,15;13,4615;13,8485;1,4459;1,4064;7,1923;0;0;12,4;103,6;3,1;19,9;20,6;417,4218;435,2821
13;1;0;0,7951;14;13,8421;13,2143;13,7931;1,7168;1,2133;9,5444;0;0;70,8;21,1;10,3;10,1;65;355,6051;479,8102
14;1;0;0,2797;14,6471;14,5;12,75;14,7778;1,5284;1,5381;8,4636;2;1;51,3;72,4;28,3;23,7;10,6;396,3794;445,6627
15;1;0;0,5907;14,7059;14,45;12,9062;14,1795;1,4645;1,333;7,3091;0;0;39,5;20;70,1;21,8;117,3;424,9346;451,5599
16;1;0,0034;0,4314;14,6842;13,8824;12,5667;14,5;1,4012;1,2026;11,8375;0;1;42,9;22,3;76,3;27,3;131;433,8086;402,9505
17;1;0;0,5963;14,625;14,7;12,9667;13,7317;1,5784;1,2973;6,6769;0;0;76,2;45,4;36;1,1;94,5;361,9314;483,3252
18;1;0,0784;0,8645;14,4667;14,2222;13,1724;13,9722;1,5166;1,279;9,54;0;0;19,9;16,4;59,8;22;112;337,3607;436,8996
19;1;0,104;0,8887;14,5294;14;13,1;13,9722;1,4689;1,2439;9,54;0;0;19,9;17,8;58,6;22;112;395,788;416,5254
20;1;0,0019;0,851;14,5;14,6667;13,2308;13,8333;1,5178;1,3145;8,3917;2;0;16,4;38,3;14,5;17,1;125,6;381,4387;459,9634
21;1;0;0,7811;14,6875;14,7368;13,0667;13,7561;1,5469;1,368;6,9;0;0;63,9;24,1;47,8;1,5;126,3;383,1379;455,7128
22;1;0,0045;0,8474;14,7059;14,6667;12,9333;13,7561;1,5508;1,3077;6,9;0;0;63,9;24,1;50,8;1,5;126,3;412,6003;486,1901
23;1;0;0,6179;14,4;14;13,1429;13,7297;1,5611;1,2607;9,48;0;0;28,7;38,9;50;26,8;55,4;349,0456;452,9909
24;1;0,0029;0,1824;14,5789;13,7368;12,3824;14,4333;1,4236;1,3433;12,4857;0;0;21,6;16,8;151,2;17,5;92,7;455,8302;422,3959
25;1;0,0115;0,142;14,5455;13,5556;12,1944;14,4333;1,4729;1,2971;12,4857;0;0;26,4;12;151,2;17,5;92,7;505,0249;423,4882
26;1;0;0,3817;13,7647;13,6842;12,8387;13,8214;1,5368;1,2419;9,55;0;0;97,7;76;74,1;29,8;91,8;401,7121;471,1738
27;1;0,144;0,4907;14,05;14;12,5385;13,7568;1,4111;1,2956;3,4483;0;1;32,4;19,9;82,8;18,6;75,4;397,7536;433,1545
28;1;0,0514;0,9287;14;13,1053;12,9;13,8889;1,115;0,9931;9,6125;5;2;79,1;29,4;32,1;25,8;34,8;317,2295;338,9076
29;1;0,0088;0,7677;14,5263;14,2105;12,6944;13,8571;1,2606;1,2302;4,4286;1;0;39,1;19,9;52,3;45,8;105,2;373,9878;376,2104
30;1;0;0,7631;14,381;13,7727;12,5556;13,6053;1,4046;1,2632;4,348;0;0;48,5;23,4;23,8;16,3;70,4;408,9208;432,9929
31;1;0;0,3379;14,4;13,9048;13;13,2222;1,2735;1,3322;7,6286;1;2;54,3;103,9;21,5;15;80,6;455,2488;371,6676
32;1;0;0,1401;14,3889;14,1;12,9286;14,2683;1,5572;1,1252;8,33;1;0;17,2;54;89;7,8;35,6;416,2892;462,1745
33;1;0,0744;0,9398;14,5556;14,3889;13,0385;13,8529;1,4731;1,2502;9,1556;1;0;28,7;41,3;40,9;4;49,2;477,2819;422,2753
34;1;0;0,5052;14,7222;14,45;13,1154;14,0256;1,4988;1,1887;8,4222;1;2;37,4;49;20,6;0;82,5;442,9541;428,3669
35;1;0;0,5902;14,55;14,65;12,963;14,0256;1,5984;1,1605;8,4222;1;2;47,2;39,7;20,1;0;82,5;459,4745;465,3979
36;1;0;0,6899;14,3889;14,1111;13,1538;14,1212;1,4373;1,1206;6,5429;0;2;58;25,8;26,8;16;8,9;402,7266;411,502
37;1;0;0,7206;14,45;13,8889;13,0714;14,1212;1,3785;1,2013;6,5429;0;2;61,8;27,2;21,6;16;8,9;448,0855;392,0062
38;1;0;0,5862;14,2778;13,5294;13,68;14,1351;1,3064;1,2085;8,0917;0;1;56,2;8,8;46,2;17,1;27,9;427,6746;380,8343
39;1;0;0,7706;14,4444;13,6875;13,44;14,25;1,1605;1,2048;7,6429;0;0;25,2;39,8;12,2;15;48,2;447,7853;340,2256
40;1;0;0,3749;14,3623;14,5263;12,79465;13,7105;1,53235;1,32625;6,4714;0;2;101,1;44,7;37,9;9,7;120,2;492,8699;446,2232
41;1;0;0,415;14,3913;14,4737;12,7143;13,7105;1,5043;1,3041;6,4714;0;2;101,1;44,7;40;9,7;120,2;522,103;441,7538
42;1;0,411;0,3883;14;14,3333;12,9655;13,1628;1,413;1,2662;11,825;0;1;36,2;121,3;68,8;3,7;173,9;431,0428;419,3222
43;1;0,3879;0,4739;14,0455;14,1579;12,9032;13,1628;1,3472;1,3221;11,825;0;1;36,2;140,5;50,2;3,7;173,9;460,5926;419,5951
44;1;0;0,517;14,3064;14,49123333;13,175;13,2683;1,422233333;1,363366667;10,23;0;0;43,9;124,3666667;8,633333333;1;159,1;449,2416;438,2717
45;1;0;0,5672;14,3478;14,4211;13,125;13,2683;1,3709;1,3765;10,23;0;0;45,3;126,3;5,3;1;159,1;487,8;419,5951
46;1;0,0008;0,2855;14,35;14,6316;12,9062;13,7632;1,5438;1,3304;7,1462;0;2;22,8;52,9;67,1;25,9;199,4;457,313;450,076
47;1;0;0,3412;14,4091;14,5263;12,7941;13,7632;1,5124;1,2954;7,1462;0;2;25,3;50,4;76,3;25,9;199,4;512,9082;448,1413
48;1;0;0,7164;13,7895;13,8;13,5;13,8571;1,5247;1,2276;15,94;0;0;110,1;32,3;50,9;0;64,9;421,9974;430,3364
49;1;0;0,7164;13,7895;13,8;13,5;13,8571;1,5247;1,2276;15,94;0;0;110,1;32,3;50,9;0;64,9;421,9974;430,3364
50;1;0;0,5733;13,9149;14,2059;13,55;13,5;1,3559;1,18445;10,8;1;0;23,6;58,2;86;0,1;23,1;387,99305;394,66315
51;1;0;0,6035;13,9474;14,1765;13,5;13,5;1,3573;1,1727;10,8;1;0;23,6;58,3;85,9;0,1;23,1;415,3331;393,714
52;1;0;0,1528;14,5;13,6667;13,5862;13,8;1,1311;1,3253;10,0889;0;2;72,6;74,9;5,6;13,7;39;430,5175;337,8805
53;1;0;0,0749;14,4091;14,35;13,2258;13,8235;1,5306;1,352;9,3625;0;3;91,6;65,3;46,6;11,2;53,7;506,5232;430,2659
54;1;0;0,1463;14,6;14,5294;13,4483;13,5;1,5197;1,1344;10,2571;0;3;41,8;47,1;79,9;0,7;23,8;439,9798;431,3927
55;1;0;0,039;14,2161;14,24206667;13,44793333;14,2895;1,538266667;1,3835;11,1429;0;2;176,5666667;39,4;45,3;0;77,9;432,072;438,8971
56;1;0;0,0704;14,2273;14,25;13,3438;14,2895;1,4692;1,4051;11,1429;0;4;179,9;37;45,3;0;77,9;469,7338;432,4709
57;1;0;0,1373;14,5789;14,1579;13,2963;13,2286;1,5673;1,3086;12,3;0;0;71,5;106;55,9;6,2;20,4;496,2841;443,2367
58;1;0;0,022733333;13,94626667;13,6316;13,37463333;13,6667;1,347533333;1,337433333;13,6714;1;1;66,4;116,1;83,7;7,8;66,6;416,3029;397,6173667
59;1;0;0,0592;13,95;13,6316;13,2667;13,6667;1,3996;1,3065;13,6714;1;1;122,4;60,1;83,7;7,8;66,6;433,6405;418,0961
60;1;0;0,1007;14,5;14,15;13,2222;13,1622;1,5948;1,3267;11,1;0;0;37,9;110,1;63,9;3,9;57,2;468,6613;468,3492
61;1;0,0145;0,0099;14,2632;14,25;13,6207;12,9091;1,4328;1,3668;8,91;1;0;18,4;73,7;97;6,8;31,3;422,0892;411,5768
62;1;0,004;0,33765;14,64585;13,71875;13,64105;13,8571;1,3089;1,089;12,4167;2;0;14,35;73,55;68,7;0;92,5;457,0396;394,13195
63;1;0,566;0,9228;14,7647;14,4;13,5385;14;1,2496;1,0246;11,2143;1;0;14,5;27,1;87,5;0,1;71,3;467,8135;365,0659
64;1;0;0,4746;13,5909;13,5882;13,1429;13,75;1,2907;1,2487;13,2833;0;2;91,4;25,3;40,6;8,6;88,2;489,9114;373,6771
65;1;0;0,4746;13,5909;13,5882;13,1429;13,75;1,2907;1,2487;13,2833;0;2;91,4;25,3;40,6;8,6;88,2;489,9114;373,6771
66;1;0;0,2698;14,125;14,1111;13,52;13,5833;1,4957;1,3044;7,7727;4;2;35,4;53,8;42,1;48,2;131,5;394,2666;452,5762
67;1;0;0,6091;13,9375;14,3529;13,4333;13,4333;1,3502;1,225;9,1444;2;0;34,6;43,7;89,2;0,3;66,1;346,4888;409,2415
68;1;0,0926;0,4286;14,3333;13,9565;13,069;14;1,733;1,27;11,5625;0;0;4,1;51,9;72,4;15,3;64,7;331,483;516,8052
69;1;0,0125;0,8135;14,4286;14,35;13,2;14,0345;1,5575;1,3447;7,7917;0;0;18,5;24;49,3;16,9;176,3;323,2544;464,6275
70;1;0;0,0915;14,5385;14,1905;13,7;13,7778;1,6663;1,4341;9,8556;0;0;26,8;70,6;61,2;21,9;66,3;343,2337;497,344
71;1;0;0,3499;14,3158;13,9565;12,45;14,8065;1,3663;1,512;9,52;0;2;80,9;23,3;44;37,3;25,8;383,5314;401,5526
72;1;0;0,4014;14,5882;13,5789;13,3333;14,25;1,2899;1,2288;12,6857;0;1;52,6;46,1;52,1;5,1;26,9;419,5613;389,7922
73;1;0,0074;0,3211;14,875;14,2174;13,125;14,2;1,6603;1,2747;10,75;0;1;24,8;64,6;78;56,4;82,5;412,3192;479,2464
74;1;0;0,4446;14,5882;13,6842;13,2667;14,3462;1,3971;1,2433;13,8857;0;0;102,7;51;41;3,5;40,3;427,8366;414,8543
75;1;0;0,5484;14,5556;13,7;13,129;14,3462;1,3924;1,2012;13,8857;0;0;102,8;51,6;40,3;3,5;40,3;454,8542;437,9666
76;1;0;0,5653;13,8235;13,8333;12,9643;13,913;1,4997;1,2729;12,7625;0;0;50,3;19,3;38,4;39,9;142,4;439,4891;421,3879
77;2;0;0;14;13,5909;12,2;13,64;1,2669;1,4225;4,89;0;8;146,1;130,7;153,6;25,5;183,2;426,6187;394,1921
78;2;0,0052;0,8766;14,5238;14,0588;12,8889;14,2333;1,0452;1,2741;12,1143;0;6;70,5;16,6;3,4;56,7;74,9;531,1109;315,9835
79;2;0;0,4892;14,2;13,5263;13,5926;13,3333;1,1679;1,3013;5,7357;0;9;88,8;40,4;8,8;30,9;88,1;542,3116;353,0596
80;2;0;0,7854;14,6087;13,9412;12,9259;14,0667;1,0978;1,2291;7,9545;0;9;72,6;24,4;4,4;42,5;144,9;581,9947;321,6938
81;2;0;0,6907;14,4231;13,6316;13,6207;14,0769;1,1669;1,3368;7,5083;0;9;81,9;12,8;38,8;38,6;68,1;537,7918;350,6918
82;2;0;0;14,5714;14,15;12,4571;13,5745;1,2166;1,2181;7,7231;1;6;37,1;63,4;127,3;30,3;120,9;448,9124;355,0446
83;2;0;0;14,5652;13,9524;12,3421;13,5745;1,1612;1,254;7,7231;1;7;62,1;73,5;102,3;30,3;120,9;493,6309;339,9556
84;2;0,5552;0,9402;14,5238;14;12,5;13,4;1,2643;1,1525;6,4417;1;7;21,1;21,9;65,9;16,6;177,4;446,1966;385,3109
85;2;0;0,6953;14,3043;14,3684;12,7143;13,34;1,2641;1,1509;6,8077;1;7;66,6;13,6;62,7;11,7;118,6;482,8399;371,1888
86;2;0;0,0143;14,65;14;12,4706;13,75;1,2249;1,2572;7,5;2;6;31,3;89;99,1;87,7;61;438,6146;374,7053
87;2;0;0,0057;14,6364;13,8571;12,3947;13,75;1,1987;1,2741;7,5;2;6;31,3;96,5;101,8;87,7;61;482,5436;354,5165
88;2;0;0,6546;14,3333;13,3182;12,3939;13,6889;1,2464;1,2529;4,9737;0;4;32,3;23,1;32,6;8,9;280,2;485,3718;386,0474
89;2;0;0,6832;14,3846;13,1304;12,1818;13,6889;1,3147;1,1509;4,9737;0;4;32,3;23,3;36,9;8,9;280,2;541,7831;382,8848
90;2;0;0,4487;14,2917;13,0476;12,3235;13,3043;1,1638;1,2944;4,325;0;5;21,3;47,9;66,5;45;371,1;470,8145;341,9464
91;2;0,3111;0,9729;13,9583;13,0909;12,2727;13,6304;1,4085;1,3101;5;0;6;3,6;37,9;10,2;9,1;154,9;438,7514;434,3926
92;2;0;0,2031;14,4583;13,0909;12,4688;13,6512;1,3137;1,2429;5,9813;0;5;54,4;29,7;38,8;40,4;278,1;499,0273;396,7949
93;2;0;0,6812;13,9;13,7059;12,3939;13,9688;1,2638;1,1159;7,3364;0;3;28,1;27,6;31,7;34,5;95,3;418,3088;379,9717
94;2;0;0,2056;14,5455;14,05;12,7419;14,0444;1,4389;1,2053;6,7167;0;8;68,1;72,9;19,8;1;65;485,5216;412,3462
95;3;0,6353;0,9992;14,25;13;12,6129;13,8333;1,3553;1,3654;6,3438;1;0;11,6;13;18,1;72,3;150,4;421,5236;401,2772
96;3;0,5914;0,7019;14,2;14,5;12,5806;12,9722;1,4383;1,1589;8,4;0;0;89,2;3,9;128,6;91,2;112,9;428,3676;439,9607
97;3;0,8223;0,6932;14,6667;14,2941;12,6875;13,5455;1,4467;1,2376;10,8125;1;1;29;48,9;60,9;3,5;74,6;447,2957;426,5521
98;3;0,6928;0,9266;14,7895;14,2;13,6071;14;1,2632;1,0493;11,2143;3;0;14,8;26,8;92;0,1;71,3;522,9371;366,6874
99;3;0,4859;0,8995;14,4375;14,6842;12,7419;13,5849;1,6188;1,3077;8,35;3;0;9,2;1,6;52,3;43,1;116,4;387,8579;465,9649
100;3;0,5398;0,9088;14,4706;14,6842;12,6471;13,5849;1,6071;1,2893;8,35;3;0;9,2;1,6;52,8;43,1;116,4;413,681;467,8103
101;3;0;0,5952;14,5;13,8889;12,7778;13,6667;1,44;1,3233;6,3692;5;0;11,4;20,3;49,9;19,2;98,2;326,4487;451,5102
102;3;0,0062;0,5671;14,5625;13,7059;12,6774;13,6667;1,4339;1,2963;6,3692;7;0;11,4;20,3;100,6;19,2;98,2;382,7952;423,2869
103;3;0,0173;0,5724;14,5294;13,6471;12,6667;13,6667;1,4539;1,2795;6,3692;7;0;11,4;20,3;101,5;19,2;98,2;403,2194;430,8811
104;3;0,6991;0,7328;14,2778;13,6111;12,6364;13,3171;1,4277;1,254;6,5267;5;0;15,8;19,8;113,7;42;124,6;383,7924;438,777
105;3;0,3159;0,9971;14,7059;13,9474;12,6562;13,8947;1,5332;1,3327;5,3947;4;0;21,6;23,5;17,6;41,6;159,2;419,1959;459,315
106;3;0,9141;0,7943;14,5625;13,7222;12,7667;13,2553;1,5436;1,4186;8,425;3;0;9,5;8,4;70,2;33,7;75,2;382,9529;472,4363
107;3;0,9722;0,7001;14,5556;13,5556;12,75;13,2553;1,5312;1,3985;8,425;5;0;9,5;8,6;130,8;33,7;75,2;441,0983;470,8105
108;3;0,927;0,9352;14,4375;14;12,7576;13,9474;1,418;1,3354;5,5941;4;0;4,7;25,7;30,2;57,6;151;393,8119;413,5547
109;3;0,9001;0,97;14,4444;13,9444;12,6857;13,9474;1,4889;1,3075;5,5941;4;0;5,5;24,9;30,2;57,6;151;435,5172;424,467
110;3;0,5942;0,9147;14,2667;14,25;12,7273;13,5094;1,6419;1,4145;7,4857;1;0;5,4;7,8;62,3;69,2;201;336,9154;513,2192
111;3;0,6852;0,9652;14,4211;13,85;12,6923;13,5094;1,593;1,4448;7,4857;1;0;10;25,6;40,5;69,2;201;450,6912;473,3291
112;3;0,2063;0,9426;14,3684;13,55;12,359;14;1,5086;1,3558;7,9286;3;0;20,8;40,4;47;38;189,7;476,4319;452,9218
113;3;0,5131;0,9967;14,4375;14,7368;12,6333;13,64;1,5777;1,3267;8,5833;4;0;8,3;1,1;21;16,7;112,9;388,9332;464,9486
114;3;0,5684;0,997;14,4706;14,7368;12,6061;13,64;1,5596;1,321;8,5833;4;0;8,3;1,1;21;16,7;112,9;418,1051;463,4341
115;3;0,6624;0,9971;14,5263;14,5789;12,5143;13,64;1,4985;1,3109;8,5833;4;0;8,3;4,7;19,7;16,7;112,9;475,3739;449,271
116;3;0,4782;0,9289;14,375;14,1176;12,8333;13,7143;1,4848;1,2911;7,0692;6;0;10,4;36,2;93,4;27,6;87;341,8772;441,2675
117;3;0,5844;0,8307;14,4444;13,8824;12,8438;13,7143;1,4833;1,29;7,0692;8;0;10,4;36,2;93,4;27,6;87;397,1848;442,2121
118;3;0,6841;0,8529;14,3333;14,2632;12,9706;13,6327;1,6235;1,3755;10,225;1;0;15,9;1,1;71,8;56,7;100,9;403,4383;500,5926
119;3;0,9646;0,6384;14,6;13,1765;12,6875;13,7027;1,5205;1,3708;6,8231;8;0;8,4;5,5;118,1;22,8;67;390,5939;448,3462
120;3;0,9333;0,6029;14,4706;13,0588;12,7273;13,7027;1,4775;1,3724;6,8231;8;0;8,4;33,3;90,3;22,8;67;443,6964;427,6109
121;4;0;0,1519;13,7;13,8421;13,8571;13,1724;1,5006;1,5397;10,0875;0;4;102,9;62,8;37,4;6,4;84,6;472,3477;464,4731
122;4;0;0;14,1579;13,15;12,5714;13,7143;1,3444;1,354;8,2;0;0;162,3;93,7;131,3;23,5;125,7;421,609;401,3575
123;4;0;0;13,7727;13,5217;12,5897;13,4043;1,5416;1,6407;4,2;0;6;55,3;110,2;110,3;8,8;113,7;529,916;446,6257
124;4;0;0;13,8571;12,85;12,3611;13,6;1,3348;1,3808;7,9333;0;1;226,4;103,4;170,5;27,5;198,2;413,8916;404,8538
125;4;0;0;14,12;13,3636;12,0465;13,6538;1,6256;1,4813;5,4053;0;3;136,1;81,6;72,6;30,5;212,6;497,3864;487,5199
126;4;0;0;14,2778;13,4;12,5294;14,0303;1,5165;1,3673;8,6818;0;1;92;70,5;120,9;13,9;104,4;421,9168;449,4985
127;4;0;0,317;13,7083;13,6;13,5926;13,4194;1,4691;1,3655;7,8077;0;3;73,9;56,7;18,7;41,6;152;547,5715;431,4287
128;4;0;0;13,7273;13,85;12,7576;13,3478;1,773;1,5272;3,895;0;2;63;187,6;217,5;38,4;141,4;518,7629;494,5223
129;4;0;0;13,6842;14;13,6333;13,6053;1,5835;1,3958;5,9133;0;1;121,2;85,1;190,6;7;81,1;405,7049;472,1515
130;4;0;0,1583;13,8;13,8824;13,7143;13,0698;1,3384;1,3912;9,5889;0;1;60,5;34,8;138,5;3,5;60,9;435,1849;412,7281
131;4;0;0,1234;13,7619;13,8889;13,5333;13,125;1,7129;1,4634;3,5174;0;2;47;66,9;106,5;26,6;114,4;530,0226;506,3803
132;4;0;0;14,5238;14,4;12,8889;13,9744;1,4909;1,1945;4,145;1;1;54,1;103,6;137,4;18,1;34,5;509,9357;435,6774
133;4;0;0,0239;13,6667;13,8333;13,6786;13,1351;1,593;1,4078;4,47;0;0;69,2;132,1;37,5;29,9;198,5;386,6789;495,918
134;4;0;0,0726;13,7895;13,8333;13,4483;13,2703;1,5886;1,4199;6,1222;0;0;77,9;131,7;84,7;74,8;82,2;430,735;472,352
135;4;0;0,1622;13,8095;13,6842;13,3793;13,2703;1,5111;1,4301;6,1222;0;0;80,5;136,3;78;74,8;82,2;488,4019;460,7194
136;4;0;0,1201;14,3158;13,8889;13,3793;13,3611;1,6143;1,4436;5,27;0;0;131,7;149,7;62,9;40,7;20,7;441,0248;486,0403
137;4;0,0983;0,3788;14,0526;13,9444;13,3;13,2368;1,6794;1,4649;4,625;0;0;80,6;28,2;188,3;87,5;68,5;453,9485;501,5585
138;4;0;0,0273;14,25;14,0556;13,4483;13,0789;1,597;1,4665;4,4926;0;0;138;146,8;65,2;65,7;30;467,8261;479,0642
139;4;0;0,018;14,6111;13,9;13,2857;13,5385;1,629;1,4268;4,9762;0;0;73,4;154,3;97,3;68,2;78,9;459,1998;503,9464
140;4;0;0;13,94826667;13,4762;13,57983333;13,2121;1,478366667;1,482166667;9,6778;0;2;38,1;207,9666667;90,03333333;12,5;49,9;527,0943333;445,9579333
141;4;0;0;13,95;13,4762;13,6061;13,2121;1,4829;1,4895;9,6778;0;2;39,9;209,7;86,5;12,5;49,9;546,7928;445,8766
142;4;0;0;14,59525;14,41665;13,6454;13,8286;1,53805;1,4118;8,21;0;3,5;96,4;48,9;179,9;30,7;70,8;456,12235;442,65345
143;4;0;0;14,5238;14,5;13,5667;13,8286;1,5439;1,4053;8,21;0;4;99,8;46;179,4;30,7;70,8;482,6009;444,5359
144;4;0;0;13,84165;13,8284;13,7376;13,0323;1,4434;1,39465;10,5;0;0;49,85;104,6;100,4;4,4;51,3;479,3701;440,21665
145;4;0;0;13,85;13,8333;13,7419;13,0323;1,4656;1,3626;10,5;0;0;50,2;104,5;111,6;4,4;51,3;508,2142;446,7593
146;4;0;0;13,5263;13,7273;13,7;13,7;1,6257;1,2732;10,9;0;0;73,9;120,6;140,7;6,1;92,4;428,0627;478,1678
147;4;0;0;13,5263;13,7273;13,7;13,7;1,6257;1,2732;10,9;0;0;73,9;120,6;140,7;6,1;92,4;428,0627;478,1678
148;4;0;0;13,7647;13,5;13,4333;13,1875;1,2981;1,3659;11,9143;1;0;7,9;159,4;114,6;21,7;34,9;405,0526;381,5316
149;4;0;0;13,7368;13,55;13,4516;13,1875;1,2423;1,3946;11,9143;1;0;27,5;156,1;98,3;21,7;34,9;460,3702;361,3475
150;4;0;0,3132;14,12406667;13,70486667;13,69126667;13,5312;1,552066667;1,4664;10,7875;0;0;45,93333333;105,5666667;56,2;6,8;30,8;439,6847667;476,3201667
151;4;0;0,378;14,15;13,6364;13,6452;13,5312;1,5546;1,469;10,7875;0;0;46,6;104,9;56,2;6,8;30,8;476,3635;457,7317
152;4;0;0,077;13,9333;13,75;13,7308;13,5;1,785;1,5162;8,2;0;0;64,2;121;56;34,2;234,9;418,9396;517,3412
153;4;0;0,1996;13,9412;13,75;13,5517;13,5;1,7306;1,4983;8,2;0;0;65,3;120;55,9;34,2;234,9;477,4028;515,9239
154;4;0;0,2855;13,9474;13,75;13,4;13,5;1,7262;1,4865;8,2;1;0;65,3;120;55,9;34,2;234,9;536,513;513,2632
155;4;0;0;13,8947;13,8824;13,7742;12,9487;1,5669;1,4318;6,1611;0;0;103,7;114,4;85,8;39,5;103;475,5967;475,4279
156;4;0;0;13,6;13,9444;13,7241;13,1053;1,4894;1,5334;5,8609;0;0;81,2;99,2;87,6;63,8;218,8;360,7013;460,7928
157;4;0;0,0185;13,6471;13,9412;13,625;13,1053;1,5247;1,5437;5,8609;0;0;113,2;67,2;87,6;63,8;218,8;405,5857;445,2232
158;4;0;0,0231;13,5;13,72;13,4516;13,7143;1,8245;1,6769;9,5769;2;0;80,1;131,9;89,6;7,3;156,7;380,7623;559,084
159;4;0;0,0281;13,5556;13,72;13,2424;13,7143;1,8185;1,5637;9,5769;2;0;80,1;132,7;89,2;7,3;156,7;439,7263;556,1921
160;4;0;0,3435;13,7059;13,6087;13,2258;13,75;1,7173;1,598;9,9769;1;0;45,9;98,4;93,3;48;135,4;424,2798;497,9016
161;4;0;0,4317;13,7368;13,5652;13,0294;13,75;1,6915;1,5574;9,9769;1;0;45,9;105,1;87,4;48;135,4;483,1265;490,541
162;4;0;0,5202;13,7143;13,6087;12,8611;13,75;1,7077;1,5412;9,9769;1;0;45,9;105,1;87,4;48;135,4;530,2454;498,195
163;4;0;0,4957;14,1905;13,9167;11,7091;14,8065;1,3731;2,8102;9,52;0;2;88,9;37,1;45,3;37,3;25,8;423,5299;400,5983
164;5;0,3299;0,9641;14,2353;12,9375;12,5;13,5116;1,3876;1,3354;7,525;2;0;23,8;36,5;33,2;42,8;213,6;439,5668;398,3396
165;5;0;0,2017;14,3684;13,15;11,8372;13,5741;1,372;1,3413;5,01;0;0;34;211,3;46,5;44,1;214,5;402,5441;407,4347
166;5;0,2732;0,9704;14,1176;13;12,5455;13,7143;1,4183;1,424;6,1467;1;0;31,3;31,7;32,3;67,2;165,2;400,5558;408,6896
167;5;0;0,2581;14,3158;13,2;11,9545;13,6415;1,3753;1,3548;5,6471;0;1;33,3;146,4;47,6;55,6;216,3;402,0984;418,7452
